tag,count
untagged,762 
sv_p1,17 
sv_p2,11 
sv_p5,6 
sv_p4,2 
email,2 
------------------------------
dstport,protocol,count
46358,tcp,1 
2154,tcp,1 
67,tcp,1 
37268,tcp,1 
6524,tcp,1 
10626,tcp,1 
60413,tcp,1 
32456,tcp,1 
7888,tcp,1 
8600,tcp,1 
8400,tcp,1 
49203,tcp,1 
56412,tcp,1 
45550,tcp,1 
11660,tcp,1 
61416,tcp,1 
12145,tcp,1 
49149,tcp,1 
10037,tcp,1 
65000,tcp,1 
7466,tcp,1 
1702,tcp,1 
7263,tcp,1 
53208,tcp,1 
61616,tcp,3 
23844,tcp,1 
34241,tcp,2 
18782,tcp,1 
5682,tcp,1 
23929,tcp,1 
37694,tcp,1 
39344,tcp,1 
46895,tcp,1 
30058,tcp,1 
54631,tcp,1 
2479,tcp,1 
587,tcp,3 
22222,tcp,2 
8009,tcp,3 
55552,tcp,1 
31386,tcp,1 
11512,tcp,1 
3389,tcp,2 
31010,tcp,1 
62752,tcp,1 
11163,tcp,1 
7080,tcp,1 
29092,tcp,2 
7440,tcp,1 
6697,tcp,1 
56650,tcp,1 
12331,tcp,1 
19435,tcp,1 
1564,tcp,1 
9077,tcp,1 
17798,tcp,1 
62040,tcp,1 
9984,tcp,1 
55728,tcp,1 
5800,tcp,1 
49052,tcp,1 
9546,tcp,1 
8709,tcp,1 
9411,tcp,1 
9817,tcp,1 
38838,tcp,1 
12235,tcp,1 
6969,udp,1 
7678,tcp,1 
9828,tcp,1 
8150,tcp,1 
61001,tcp,2 
11099,tcp,2 
9091,tcp,2 
9090,tcp,2 
8000,tcp,2 
5985,tcp,2 
53413,tcp,2 
50500,tcp,2 
30443,tcp,2 
27017,tcp,2 
51080,tcp,2 
51001,tcp,2 
45000,tcp,2 
9094,tcp,2 
9012,tcp,2 
9003,tcp,2 
8001,tcp,2 
7777,tcp,3 
7004,tcp,2 
6443,tcp,2 
5000,tcp,2 
4443,tcp,2 
10443,tcp,2 
9092,tcp,2 
9002,tcp,2 
9001,tcp,2 
8291,tcp,2 
7990,tcp,2 
7547,tcp,2 
5986,tcp,2 
5672,tcp,2 
5432,tcp,2 
4848,tcp,2 
4786,tcp,2 
3888,tcp,2 
1812,tcp,2 
1723,tcp,2 
137,tcp,2 
115,tcp,2 
79,tcp,2 
4506,tcp,2 
4505,tcp,2 
4445,tcp,2 
3351,tcp,2 
3299,tcp,2 
2888,tcp,2 
1900,tcp,2 
1883,tcp,2 
110,tcp,2 
81,tcp,2 
53,tcp,2 
35,tcp,2 
1813,tcp,2 
161,tcp,2 
95,tcp,2 
8134,tcp,1 
47901,tcp,1 
22599,tcp,1 
45184,tcp,1 
104,tcp,1 
51805,tcp,1 
31698,tcp,1 
9039,tcp,1 
8383,tcp,1 
56986,tcp,1 
6568,tcp,1 
10003,tcp,1 
1434,udp,1 
36334,tcp,1 
3784,udp,1 
1866,tcp,1 
14852,tcp,1 
2103,tcp,1 
62044,tcp,1 
24205,tcp,1 
22609,tcp,1 
24486,tcp,1 
20016,tcp,1 
12234,tcp,1 
11753,tcp,1 
48299,tcp,1 
8598,tcp,1 
52524,tcp,1 
17778,tcp,1 
60100,tcp,1 
55555,tcp,1 
3340,tcp,1 
47099,tcp,1 
43026,tcp,1 
8462,tcp,1 
11198,tcp,1 
29786,tcp,1 
2083,tcp,1 
9704,tcp,1 
12999,tcp,1 
10120,tcp,1 
42122,tcp,1 
26358,tcp,1 
3822,tcp,1 
28786,tcp,1 
161,udp,1 
9939,tcp,1 
8071,tcp,1 
22052,tcp,1 
23632,tcp,1 
54068,tcp,1 
49775,tcp,1 
22080,tcp,1 
9775,tcp,1 
3100,tcp,1 
2210,tcp,1 
9845,tcp,1 
1902,udp,1 
8323,tcp,1 
58234,tcp,1 
49511,tcp,1 
52632,tcp,1 
1080,tcp,1 
50050,tcp,1 
20212,tcp,1 
4948,tcp,1 
2162,tcp,1 
55881,tcp,1 
48082,tcp,1 
50668,tcp,1 
8350,tcp,1 
6003,tcp,1 
30906,tcp,1 
55462,tcp,1 
7023,tcp,1 
60504,tcp,1 
24,tcp,1 
55896,tcp,1 
20752,tcp,1 
10000,tcp,1 
54926,tcp,1 
16992,tcp,1 
7480,tcp,1 
12479,tcp,1 
9983,tcp,1 
9444,tcp,1 
121,udp,1 
8305,tcp,1 
14402,tcp,1 
8107,tcp,1 
56210,tcp,1 
7889,tcp,1 
1194,tcp,1 
22087,tcp,1 
9632,tcp,1 
